held_out_geometry,model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
stenosed,Geometry-aware,all,94,0.1666515940215755,0.109987087547779,0.0044987355358898,1.6989011764526367,0.2190497310767313,0,0.0
stenosed,Geometry-aware,newtonian,39,0.1059233154146335,0.0941661745309829,0.0109252240508794,0.2638461887836456,0.0665572251348082,0,0.0
stenosed,Geometry-aware,power_law,55,0.2097134643064981,0.1339961439371109,0.0044987355358898,1.6989011764526367,0.2727569737402957,0,0.0
expanded,Unconstrained,all,107,0.3279480506953235,0.2032508999109268,0.0576434545218944,2.3191819190979004,0.3656355164478026,74,-0.0780892148613929
expanded,Unconstrained,newtonian,54,0.2489130099614461,0.2009956315159797,0.0772946402430534,0.8770411610603333,0.1782853163762854,43,-0.0327684581279754
expanded,Unconstrained,power_law,53,0.4084743186128589,0.219120517373085,0.0576434545218944,2.3191819190979004,0.4739903394954233,31,-0.0780892148613929
expanded,Power-law-aware,all,107,0.3125022222575183,0.2261092066764831,0.0471895448863506,2.468424081802368,0.3382816555586228,0,0.0
expanded,Power-law-aware,newtonian,54,0.2332642876577598,0.20294289290905,0.0471895448863506,0.695747435092926,0.1420114839784174,0,0.0
expanded,Power-law-aware,power_law,53,0.3932352122270836,0.2408893257379531,0.0477748066186904,2.468424081802368,0.4444832854884492,0,0.0
expanded,Geometry-aware,all,107,0.2497444449288544,0.1702051311731338,0.008039591833949,2.2858517169952393,0.3101977378865573,0,0.0
expanded,Geometry-aware,newtonian,54,0.1935315916176747,0.1534182801842689,0.0159289874136447,0.7050593495368958,0.1487014912621688,0,0.0
expanded,Geometry-aware,power_law,53,0.3070179181138299,0.1903907805681228,0.008039591833949,2.2858517169952393,0.4064870169855741,0,0.0
sinusoidal,Unconstrained,all,100,0.5725149119272828,0.3595956563949585,0.0341882072389125,5.278929710388184,0.6930614349935935,50,-0.1907650679349899
sinusoidal,Unconstrained,newtonian,53,0.4958473365964754,0.3599595427513122,0.0341882072389125,2.7704856395721436,0.510956242050877,22,-0.0897879227995872
sinusoidal,Unconstrained,power_law,47,0.6589698373003209,0.3592317700386047,0.0547168478369712,5.278929710388184,0.8446772442742428,28,-0.1907650679349899
sinusoidal,Power-law-aware,all,100,0.2726641807891428,0.2350859642028808,0.0195164736360311,1.611117243766785,0.2189922598401695,0,0.0
sinusoidal,Power-law-aware,newtonian,53,0.2287334519666883,0.2200936377048492,0.0195164736360311,0.5540683269500732,0.119346796648228,0,0.0
sinusoidal,Power-law-aware,power_law,47,0.3222030877591447,0.2499333769083023,0.0382529459893703,1.611117243766785,0.2852106012116191,0,0.0
sinusoidal,Geometry-aware,all,100,0.3726097174361348,0.2445974573493003,0.0118730086833238,3.089580774307251,0.4622359625808816,0,0.0
sinusoidal,Geometry-aware,newtonian,53,0.2841171570262819,0.2063082456588745,0.0118730086833238,1.6463139057159424,0.295189807921451,0,0.0
sinusoidal,Geometry-aware,power_law,47,0.4723992004515008,0.2914779782295227,0.0382393859326839,3.089580774307251,0.5809911491208799,0,0.0
hyperbolic_constriction,Unconstrained,all,109,0.5258292838110836,0.2614003121852875,0.0656896531581878,14.866815567016602,1.4368275232377925,107,-0.2529444694519043
hyperbolic_constriction,Unconstrained,newtonian,62,0.2696769405757227,0.2174349874258041,0.0656896531581878,0.824592113494873,0.1791755230879897,61,-0.0782794132828712
hyperbolic_constriction,Unconstrained,power_law,47,0.8637323748875172,0.3525222539901733,0.0930078253149986,14.866815567016602,2.1318391542601787,46,-0.2529444694519043
hyperbolic_constriction,Power-law-aware,all,109,0.1985673430726068,0.1960348337888717,0.0495686084032058,0.5708216428756714,0.0866373505728776,0,0.0
hyperbolic_constriction,Power-law-aware,newtonian,62,0.1759434719720194,0.1736675053834915,0.0495686084032058,0.4456081390380859,0.0748078897340723,0,0.0
hyperbolic_constriction,Power-law-aware,power_law,47,0.2284115985669988,0.2190645486116409,0.0648213252425193,0.5708216428756714,0.0919754443515348,0,0.0
hyperbolic_constriction,Geometry-aware,all,109,0.1508440192737574,0.130959466099739,0.0128132766112685,0.6027182340621948,0.1072853573837224,0,0.0
hyperbolic_constriction,Geometry-aware,newtonian,62,0.1190370409449021,0.1033433862030506,0.0128132766112685,0.378384381532669,0.0870631679387478,0,0.0
hyperbolic_constriction,Geometry-aware,power_law,47,0.1928021608990557,0.1664447039365768,0.0289016552269458,0.6027182340621948,0.1166171398581737,0,0.0
