run,arch,sampling,held_out,seed,epochs,batch_size,learning_rate,dataset_sha256,git_commit,git_dirty,device,wall_clock_seconds
geoaware__geo-wallstretched__holdout-stenosed__seed-00,geoaware,geo-wallstretched,stenosed,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.71195258293301
geoaware__geo-wallstretched__holdout-stenosed__seed-01,geoaware,geo-wallstretched,stenosed,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.727708416990936
geoaware__geo-wallstretched__holdout-stenosed__seed-02,geoaware,geo-wallstretched,stenosed,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.69441633298993
geoaware__geo-wallstretched__holdout-stenosed__seed-03,geoaware,geo-wallstretched,stenosed,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.61875758320093
geoaware__geo-wallstretched__holdout-stenosed__seed-04,geoaware,geo-wallstretched,stenosed,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.72154795844108
geoaware__geo-wallstretched__holdout-straight__seed-00,geoaware,geo-wallstretched,straight,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.588290124200284
geoaware__geo-wallstretched__holdout-straight__seed-01,geoaware,geo-wallstretched,straight,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.583175749517977
geoaware__geo-wallstretched__holdout-straight__seed-02,geoaware,geo-wallstretched,straight,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.65145670901984
geoaware__geo-wallstretched__holdout-straight__seed-03,geoaware,geo-wallstretched,straight,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.58637091703713
geoaware__geo-wallstretched__holdout-straight__seed-04,geoaware,geo-wallstretched,straight,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.594715165905654
